,Tweet
6194,'@terrinwatson @hola_profesora @UBGSE @chrisemdin @Columbia @CUNY @UBuffalo @CUNYTeacherEd @GC_CUNY Good luck tomorrow!! I hope you are proud of yourself!!'
6195,'@hola_profesora @UBGSE @chrisemdin @Columbia @CUNY @nrookie @UBuffalo @CUNYTeacherEd @GC_CUNY Thanks for joining us!'
6196,"'@UBGSE @chrisemdin @Columbia @CUNY @terrinwatson Thank you, all! Excited for continued learning tomorrow! 💻🎧 #Teaching #UBGSE #BelovedCommunity #CareworkNetwork #FreedomtoCare #CommunityCulturalWealth https://t.co/MGSB0cLMHI'"
6197,'Rethinking meaning of ‘care free’ and value of care in schools thanks to inspiring talk from Dr. Luttrell #UBGSE #belovedcommunity'
6198,#BelovedCommunity #UBGSE #CollaborativeSeeing #Photodocumentation https://t.co/eLpRSD9zX3'
6199,“Authenticity is the key currency.” —@ChrisEmdin  #BelovedCommunity #UBGSE #UBuffalo https://t.co/mJ8cmM4tZp'
6200,"“Be hood &amp; be a scholar. Be from your block &amp; get a PhD.” @chrisemdin #UBGSE   Feel so inspired &amp; loved, just after one session at the #BelovedCommunity. Today, we are reminded that it’s perfectly okay to be yourself. We should be entering these educational spaces as OURSELVES ❤️'"
6201,'“What does Black freedom look like &amp; what is the role of education in it?” - Dr. Rooks #BelovedCommunity #UBGSE @nrookie we need a “People’s Policy Proposal” #EdPolicy has a ways to learn'
6202,#BelovedCommunity #UBGSE @nrookie  “Killing schools and surviving litanies” https://t.co/W5xKMuasOt'
6203,"Grateful to have the opp to experience the Creating a Beloved Community Symposium today. The thought leadership, scholarship, wisdom, &amp; light that is being shared so openly is a gift. Sitting with how lucky I am to have access to these words and convos. #BelovedCommunity #UBGSE'"
6204,More reading to do🧐 @nrookie  #BelovedCommunity #UBGSE https://t.co/vC6tX85kBt'
6205,“You can not care for someone else until you #care for yourself.” —@ChrisEmdin  #BelovedCommunity #Education #UBGSE #UBuffalo https://t.co/6xMcCfvm6e'
6206,#BelovedCommunity #UBGSE #MASSFiringBlackTeachers #ClosingBlackSchools Learning about COURAGE from @nrookie https://t.co/VBSYHK98LM'
6207,I am very excited to hear @nrookie!  Thank you @terrinwatson #UBGSE   Creating the Beloved Community.'
6208,“#Teaching is more about modeling than delivering information.” –@ChrisEmdin  #BelovedCommunity #Education #UBGSE #UBuffalo https://t.co/cw4PASLYRn'
6209,"'#UBGSE’s two-day #BelovedCommunity symposium kicked off this morning with @ChrisEmdin @Columbia professor in conversation with @CUNY professor @TerriNWatson. Stay tuned here for highlights and inspiration for transforming schools into safe, loving spaces. Share your takeaways! https://t.co/9nnALq8Dfe'"
6210,"This convo w/ @chrisemdin &amp; @terrinwatson is LOVE. Sitting w/ Chris's words - In the souls of all those who want to do right in the world is truth. Dig into it, listen to the voice that tells you something is happening, reflect deep, &amp; go make change. #BelovedCommunity #UBGSE"
6211,"In case you need to hear it too @chrisemdin reminds us - When you're a light, you got to expect people to throw shade - love your kids, be good, work hard &amp; with intention &amp; purpose. Don't give your energy to folx who are stealing your light. #BelovedCommunity #UBGSE"
6212,"'@chrisemdin: ""Three types of people; elevators, haters, suckers"" w/@terrinwatson #BelovedCommunity #UBGSE https://t.co/FPuMdu0OTe'"
6213,"🔥🔥🔥 Yes! -- @chrisemdin giving us all the real talk this morning. Frameworks are important but they're only essential to the extent that you can apply them... Don't be like, you look good and play the part well, but... #BelovedCommunity #UBGSE"
6214,This convo with @chrisemdin &amp; @terrinwatson is everything. Love the point - teaching is more about modeling than delivering info -- model the struggle &amp; open the space so kids can see how to overcome conflict. It's about radical vulnerability. #BelovedCommunity #UBGSE https://t.co/WhtTr5ed0s
6215,#BelovedCommunity #UBGSE Recommended read🧐https://t.co/e3TbXAuSQ0'
6216,'“Mercy is most potent when it’s least deserved” - Dr. Watson  THIS IS CARE!!! #BelovedCommunity #UBGSE @terrinwatson'
6217,"'Yes, yes, yes!!! @chrisemdin telling us that authenticity is the true key currency. Bring yourself and your core identity to the table. How real you are is what translates and this becomes the playing field around mutualism. #BelovedCommunity #UBGSE'"
6218,"'@terrinwatson ""There is need for order but there really is a need for mercy; mercy is most potent when it is least deserved"" w/ @chrisemdin. #BelovedCommunity #UBGSE'"
6219,@Chris_E310 dropping all the nuggets today🧐 “Interrogate who you are as a teacher (critical autobiography) first before addressing Ss culture.” “Challenge Ss to be disciplined RATHER than controlling bodies” “Authencity is the true key currency” #BelovedCommunity #UBGSE'
6220,"'Dr. @Chrisemdin ""I shouldn’t have to choose to be myself or be smart - be hood and be a scholar; be from your block and get a PhD - Either/or is antiquated"" w/ @terrinwatson #BelovedCommunity #UBGSE https://t.co/Fkz8854Fzr'"
6221,'We are seeking candidates for a special education long term substitute position. Join one of the best districts in WNY. Apply at https://t.co/fqRLzqqQYp @daemencollege @MedailleCollege @UBGSE @NiagaraGradEd @bsc_exed https://t.co/APoJ3oorzy'
6222,'Dr. @chrisemdin dropping all types of gems this morning at @UBGSE #BelovedCommunity symposium this morning! Dr. @terrinwatson moderating the convo on reimagining care in education. #AntiRacism #BeHoodAndAScholar #RadicalHospitality #BeyondOldModelsOfExcellence #FreeMindBodySpirit https://t.co/Bt3LV1TwLw'
6223,"'Dr. Christopher Emdin: ""Your richness begins at the point when you fully know who you are"" #BelovedCommunity #UBGSE'"
6224,'“Purpose of school is to leave a child fully and wholly actualized”- Dr. Emdin... I want to start every morning like this!! #BelovedCommunity #UBGSE @terrinwatson @chrisemdin'
6225,'Beginning my day with a powerful keynote on Care by @chrisemdin as part of the Creating a Beloved Community symposium. All the love for the wisdom and light Chris is giving us while he challenges us to interrogate ourselves first. 💯 #BelovedCommunity #UBGSE'
6226,"'The conversation between @terrinwatson and Christopher Emdin -- DAMN! Dropping knowledge! drip, drip, DROP! #BelovedCommunity #UBGSE'"
6227,'Dr. Christopher Edin is setting if off!! #BelovedCommunity #UBGSE'
6228,'What is radical hospitality and how does it serve as the anchor for belonging? Join the conversation @terrinwatson terrinwatson @UBGSE https://t.co/4VQEscoCVi'
6229,'Beyond excited for Day 1 today!! Cannot wait to listen &amp; engage with folx in these next couple of days. #UBGSE #BelovedCommunity https://t.co/qxODLVf7B5'
6230,'@NAEmmanuele @JENTONEY @GUSchoolofEd @UBGSE You can do it.'
6231,Busy day!   ✳️#PCTELA21 planning (https://t.co/kfsaNii0Tk for more info!) with @JENTONEY  ✳️Various emails  ✳️Feedback for preservice teachers @GUSchoolofEd   ✳️Course planning for @GUSchoolofEd   ✳️#CovidVaccine this afternoon  ✳️Reading &amp; writing for my @UBGSE PhD course'
6232,"'Welcome to Twitter, @SunhaKim7! Great to see you! #UBGSE #UBuffalo https://t.co/nF3KHhIW5a'"
6233,'Looking forward to learning alongside these amazing scholars in this FREE two-day symposium from March 15-16! It’s open to anyone who would like to join in on the fun! Check out the website for more info and to RSVP :) Kudos to @terrinwatson for your labor of love ❤️✊🏽 @UBGSE https://t.co/Vwps08sT9v'
6234,'Great piece @CNN on lockdown drills @jschildkraut80 research with @iloveuguys thanks for highlighting my research and also @melissareevessp @nasponline @UB_BullyPrevCtr @UBGSE https://t.co/O8WVzhuePM'
6235,'A 1957 University of Buffalo graduation photo of Lillie P.W. Stephens. #WomensHistoryMonth #UBuffalo https://t.co/SQAl6IQ9T9'
6236,Looking forward to @terrinwatson's  Symposium at @UBGSE on creating the #BelovedCommunity - integrating the 5Cs into my work as a scholar and educator: CARE | COURAGE | CRITICAL REFLECTION | COMMITMENT | COMMUNITY  https://t.co/SFiZIUbLLn
6237,"'@IUAES_WAU presenting ""Conflict, Policies in Process, &amp; Policy Bundles"" and learning with amazing world-wide panel An Anthropology of Policy: Legacies and Future Challenges @anthofpolicy Thanks @Paulstubbsa &amp; @CrisShore for organizing! @UBGSE'"
6238,"We are seeking candidates for an assistant principal position at the high school. Learn more and apply, https://t.co/fqRLzq9fzP   @BSCGRADSCHOOL @NiagaraGradEd @UBGSE @buffstatealumni https://t.co/10XQMWo12Q'"
6239,"'#UBGSE alumna Amanda Knapp started motorcycle racing after earning her education policy PhD. Now as an associate vice provost leading @UMBC student success, she sees parallels between #racing and #CollegeSuccess: Both require support &amp; grit. #UBuffalo https://t.co/6ZP4VyRxwc https://t.co/FSKZgWRStE'"
6240,'Please join us this will be FIRE! Discuss reshaping schools into loving communities. Join #UBGSE’s March 15+16 #BelovedCommunity symposium with https://t.co/NDuesvj4IS.'
6241,"'We are seeking candidates for a number of teaching positions. Postings close 3/26/21. Learn more and apply, https://t.co/fqRLzqqQYp @BSCGRADSCHOOL @bsc_exed @NiagaraGradEd @NiagaraU_OMA @UBGSE @CUNY @NewsatMedgar @MedailleCollege @MedailleBsu @NazarethCollege @BuffaloStateCDC https://t.co/4coJ7JyWxL'"
6242,"Juanita Hunter, EdD ’83, MS ’74, BS ’71, who retired from the #UBuffalo School of Nursing after teaching for nearly 30 years, is the first @UBNursing faculty member inducted into the American Academy of Nursing. https://t.co/uORZr60N5o  #InternationalWomesDay @UBSSW @UBGSE https://t.co/vNNfIck1Et'"
6243,'News that six #DrSeuss books will stop being published got this @TODAYshow assessment from @ChrisEmdin @Columbia professor and #UBGSE #BelovedCommunity speaker: The US is reckoning with its past. Hear more. Register for the free March symposium: https://t.co/WJ5tY9bSFy #UBuffalo https://t.co/NP3pXm5T91'
6244,Our Center for the Study of First-Gen Students is excited to host our first Brown Bag talk with Megan Holland today at 12pm - join us if you can! #firstgen @UBGSE  https://t.co/EbbqxTz7hp https://t.co/ezINwikrPs'
6245,Register today! #BelovedCommunity #UBuffalo #UBGSE https://t.co/WHFADXJts3'
6246,'@KingAdjapong Thanks for sharing our event!'
6247,"'Why choose #UBGSE\'s LIFTS program? Alumna Andrea Parker shares: “My cohort grew very close. We coach each other as we prepare for job interviews. We celebrate with one another as we move into our first administrative roles."" The deadline to apply is 4/1. https://t.co/pgntu9hUUH.'"
6248,"'Why choose #UBGSE\'s LIFTS program? Alumna Andrea Parker shares: “My cohort grew very close. We coach each other as we prepare for job interviews. We celebrate with one another as we move into our first administrative roles."" The deadline to apply is 4/1. https://t.co/YbbufPuZz1.'"
6249,'#UBGSE https://t.co/86XcZsUCen'
6250,'@LMarr98 @UBGSE 😊😊😊'
6251,'@terrinwatson @UBGSE REGISTERED!!!'
6252,'Discuss reshaping schools into loving communities. Join #UBGSE’s March 15+16 #BelovedCommunity symposium with @FordhamNYC’s @ShannonRWaite5; @Columbia’s @ChrisEmdin @davidekirkland; @Cornell’s @nrookie; @CityCollegeNY’s @terrinwatson; @GC_CUNY. Details: https://t.co/NB7cBnzmDl.'
6253,@LMarr98 Hi. We have a sharing toolbox if you'd like to help us get the word out! 😎 https://t.co/6GK6RqkC87
6254,'#EdPolicy #UBGSE #UBuffalo https://t.co/TynxJnxDD2'
6255,'@terrinwatson @UBGSE THANK YOU SO MUCH!! I will surely share!'
6256,@LMarr98 This session was contracted by a school district in Massachusetts.  Please join me on March 15th and 16th @UBGSE’s spring symposium - https://t.co/P11Ednxyk3'
6257,New interdisciplinary work on how an urban high school leveraged educational policy and practice supports to address refugee and hurricane displaced student needs @UBGlobalHealth @UBGSE @UB_BullyPrevCtr  https://t.co/YzCKFlKJsp'
6258,'Very important @UBGSE Disrupting Dysconsciousness: Confronting anti-Blackness in education @ShannonRWaite5 also read @Drjoyceking on dysconscious racism and the miseducation of teachers: Important to notice &amp; name  #CriticalReflection #PraxisAcademics https://t.co/RNqFm7BTid'
6259,'@catttclaw You can. The symposium is free and open to the public - Thanks to @UBGSE.'
6260,'Learning from @GwenSBaxley and colleagues @EthnoForumGSE on Black Liberatory Practices in education. @UBGSE'
6261,'Thanks @StephSFredrick for sharing #NASP2021 with our students @UBGSE and for joining the Surviving Lunch Q &amp; A @nasponline https://t.co/KybOkFj9xV'
6262,'@Drjaninejones @UBGSE Thank you!! What a great presentation to accompany the chapters my students are reading that you authored!'
6263,'#UBuffalo #UBGSE #BullyingPrevention https://t.co/urB6wxD3HR'
6264,"@GijsHuitsing, PhD, Assistant Professor/University of Groningen, the Netherlands (2020 Early Career Award recipient) ""Targeting Persistent Cases of #Bullying with Network Diagnostics"" Tues., April 20, 11:30 a.m.-12:45 p.m. ET @UBGSE @UBuffalo Register at https://t.co/F0LLiP7DTj https://t.co/e7EtyujU3i'"
6265,"'@DrAmandaNick @UBGSE Omg!  Amanda, thank you for the honor of visiting your classroom! So cool!'"
6266,'Discuss reshaping schools into loving communities. Join #UBGSE’s March 15+16 #BelovedCommunity symposium with @FordhamNYC’s @ShannonRWaite5; @Columbia’s @ChrisEmdin @davidekirkland; @Cornell’s @nrookie; @CityCollegeNY’s @terrinwatson; @GC_CUNY. Details: https://t.co/XjdggnkO0a.'
6267,'@FredoniaU @binghamtonu @EPL_UAlbany @UBuffalo @UBGSE @UAlbanyEdu Alumni author appears on a podcast on #education #edchat #LeadLAP #crazypln #802chat #wnyedchat https://t.co/AGSUZdQ4PP'
6268,'@UBGSE @ShannonRWaite5 @FordhamNYC Dr. Waite is a phenomenal scholar as well as a member of NYCDOE’s Panel for Educational Policy. She uses her nearly 20 years of experience in education to speak truth to power. Y’all can thank me later. See you on the 16th.'
6269,"'@MrCollinCase @UGA_IHE @UBGSE @britsoci I’ll just be over here with my box of tissues...so lucky to work with you, @MrCollinCase'"
6270,"'@IjazAhmad12 @UGA_IHE @UBGSE @britsoci Thanks so much, Ijaz!'"
6271,'@gdamato_ @UBGSE So glad that you are joining us!😊'
6272,'Listen in as #UBuffalo students talk about creating a #BelovedCommunity at UB with @terrinwatson from @CityCollegeNY and @GC_CUNY. It’s part of @UBGSE’s spring symposium March 16. Register at https://t.co/WJ5tY9bSFy. #Community #OneGSE #AcademicsForBlackLives https://t.co/GeSCSGi4wq'
6273,'@UBGSE @davidekirkland @Columbia Registered!!!'
6274,Looking forward to attending @terrinwatson's #CreatingTheBelovedCommunity spring symposium at @UBGSE on March 15 &amp; 16. Education is about kids and we need to roll up our sleeves and do the work that is necessary to truly transform our schools. https://t.co/CsEIMof8St https://t.co/4M7aBJh1cC
6275,'Advance culturally responsive education and join @davidekirkland from @Columbia for his presentation at @UBGSE’s #BelovedCommunity spring symposium March 16. Register at https://t.co/WJ5tY9bSFy. #UBuffalo #OneGSE #Commitment #AcademicsForBlackLives #EquityInEducation https://t.co/KVp1tcHWg9'
6276,'.@ShannonRWaite5 from @FordhamNYC presents on confronting anti-blackness in education: Join @UBGSE’s #BelovedCommunity spring symposium March 16. Register at https://t.co/WJ5tY9bSFy. #UBuffalo #OneGSE #CriticalReflection #AcademicsForBlackLives #EquityInEducation https://t.co/GkHnyoIe97'
6277,'Discuss reshaping schools into loving communities. Join #UBGSE’s March 15+16 #BelovedCommunity symposium with @FordhamNYC’s @ShannonRWaite5; @Columbia’s @ChrisEmdin @davidekirkland; @Cornell’s @nrookie; @CityCollegeNY’s @terrinwatson; @GC_CUNY. Details: https://t.co/hcRc7xNX2A.'
6278,"'@UGA_IHE @amy_stich @UBGSE @britsoci Congratulations, Dr. Stich!'"
6279,"'@Christine_RK1 @UGA_IHE @UBGSE @britsoci Thank you, Christine!!! xo'"
6280,'@UGA_IHE @amy_stich @UBGSE @britsoci Bravo!!! Congratulations @amy_stich'
6281,"'@lynnemaz @UGA_IHE @UBGSE @britsoci Thank you, Lynne!!!'"
6282,'@lead716 Thanks for sharing!'
6283,'@erinkearney78 Thanks for spreading the word!'
6284,'@UB_BullyPrevCtr Thanks for sharing!'
6285,'@FordhamNYC @ShannonRWaite5 @Columbia @chrisemdin @davidekirkland @Cornell @nrookie @CityCollegeNY @terrinwatson @GC_CUNY Dr. Wendy Luttrell from @GC_CUNY presents “Children Framing Childhoods: Working Class Kids’ Vision of Care” for @UBGSE’s #BelovedCommunity spring symposium March 15. Register at https://t.co/WJ5tY9bSFy. #UBuffalo #Community #OneGSE #WorkingClassChildren @CityCollegeNY https://t.co/KV41L4QExS'
6286,"'@AlbanyStatePrez @UGA_IHE @UBGSE @britsoci Thank you, Marion!! I miss seeing you!'"
6287,"'@UGA_IHE @amy_stich @UBGSE @britsoci Congratulations, Dr. Stich!!'"
6288,Searching for a grad program? Talk to the #faculty. #UBGSE's Renad Aref tells students: “Go through the faculty webpages... Ensure that your #research interests align with theirs.” Schedule a #gradadmissions advising appointment for more tips: https://t.co/N8QyufvjgZ. #UBuffalo https://t.co/2725QvEdMX
6289,Searching for a grad program? Talk to the #faculty. #UBGSE's Renad Aref tells students: “Go through the faculty webpages... Ensure that your #research interests align with theirs.” Schedule a #gradadmissions advising appointment for more tips: https://t.co/zYPWL2D8CV. #UBuffalo https://t.co/Vrm5M3ZDiJ
6290,'@UBGSE @FordhamNYC @ShannonRWaite5 @Columbia @chrisemdin @davidekirkland @Cornell @nrookie @CityCollegeNY @GC_CUNY @TeachersCollege @chrisemdin is my brother and friend. His spirit is pure and he speaks from both his head and his heart. Looking forward to this talk! ❤️'
6291,'@terrinwatson @UBGSE @FordhamNYC @ShannonRWaite5 @Columbia @chrisemdin @davidekirkland @Cornell @CityCollegeNY @GC_CUNY ☺️'
6292,'@UBGSE @FordhamNYC @ShannonRWaite5 @Columbia @chrisemdin @davidekirkland @Cornell @nrookie @CityCollegeNY @GC_CUNY This is going to be awesome. @nrookie is a scholar and a truth teller. Be prepared to take notes. Can’t wait!'
6293,"'@FordhamNYC @ShannonRWaite5 @Columbia @chrisemdin @davidekirkland @Cornell @nrookie @CityCollegeNY @terrinwatson @GC_CUNY “When Warriors Cry: Education, Integration and the Color of Love,” a talk by @nrookie from @Cornell at @UBGSE’s #BelovedCommunity spring symposium March 15. Register at https://t.co/WJ5tY9bSFy. #UBuffalo #Courage #OneGSE #AcademicsForBlackLives #EquityInEducation https://t.co/nCDQM1rrR4'"
6294,'@FordhamNYC @ShannonRWaite5 @Columbia @chrisemdin @davidekirkland @Cornell @nrookie @CityCollegeNY @terrinwatson @GC_CUNY .@ChrisEmdin from @TeachersCollege @Columbia gives his take on education &amp; talks about his book “Ratchetdemic: Reimagining Academic Success” at @UBGSE Creating the #BelovedCommunity spring symposium on March 15. Register: https://t.co/WJ5tY9bSFy #UBuffalo #HipHopEd #Care #OneGSE https://t.co/gxxyVreY5r'
6295,'Discuss reshaping schools into loving communities. Join #UBGSE’s March 15+16 #BelovedCommunity symposium with @FordhamNYC’s @ShannonRWaite5; @Columbia’s @chrisemdin @davidekirkland; @Cornell’s @nrookie; @CityCollegeNY’s @terrinwatson; @GC_CUNY. Details: https://t.co/WJ5tY9bSFy. https://t.co/sqwT7UqcVW'
6296,'@UGA_IHE @amy_stich @UBGSE @britsoci AWESOME!!!!'
6297,'@alexaleearndt @UGA_IHE @UBGSE @britsoci xo'
6298,'@UGA_IHE @amy_stich @UBGSE @britsoci This is so incredibly well deserved! I am so lucky to learn from this rockstar!'
6299,'@UGA_IHE @amy_stich @UBGSE @britsoci Congratulations!!!'
6300,"'@ChrisMarsicano @UGA_IHE @UBGSE @britsoci Thanks, Chris!!'"
6301,"'@DTandberg @UGA_IHE @UBGSE @britsoci Thanks so much, David!'"
6302,"'@kevinrmcclure @UGA_IHE @UBGSE @britsoci Thank you so much! Means a lot, @kevinrmcclure  - I really admire your work!'"
6303,"'Discuss reshaping schools into loving communities. Join #UBGSE’s March 16 #BelovedCommunity symposium with @FordhamNYC’s @ShannonRWaite5, @Columbia’s @ChrisEmdin, @davidekirkland, @Cornell’s @nrookie, @CityCollegeNY’s @terrinwatson, @GC_CUNY. Register at https://t.co/qmK1eXSZQ2.'"
6304,'@UGA_IHE @amy_stich @UBGSE @britsoci Woohoo! My sincere congrats @amy_stich'
6305,'@UGA_IHE @amy_stich @UBGSE @britsoci CONGRATULATIONS @amy_stich!'
6306,"'@UGA_IHE @amy_stich @UBGSE @britsoci Congrats, Amy!'"
6307,'@UGA_IHE @amy_stich @UBGSE @britsoci Huzzah!'
6308,"'Discuss reshaping schools into loving communities. Join #UBGSE’s March 16 #BelovedCommunity symposium with @FordhamNYC’s @ShannonRWaite5, @Columbia’s @ChrisEmdin, @davidekirkland, @Cornell’s @nrookie, @CityCollegeNY’s @terrinwatson, @GC_CUNY. Register at https://t.co/Bf7E78nCtM.'"
6309,"Dr. Amy Stich has been promoted to Associate Professor and awarded tenure, effective August 2021. Well done! @Amy_Stich @UBGSE @britsoci #HigherEdTracking https://t.co/oUrrvcGLYf https://t.co/xWqQYSHAqk'"
6310,"'Discuss reshaping schools into loving communities. Join #UBGSE’s March 16 #BelovedCommunity symposium with @FordhamNYC’s @ShannonRWaite5, @Columbia’s @ChrisEmdin, @davidekirkland, @Cornell’s @nrookie, @CityCollegeNY’s @terrinwatson, @GC_CUNY. Register at https://t.co/WJ5tY9bSFy. https://t.co/EN9SrrbN3A'"
6311,Applying to #gradschool is a big decision. Join us on Feb. 25 at 6 p.m. for our Exploring GSE Programs Webinar. #UBGSE's admissions team will show you strategies for researching your next academic move. Register now: https://t.co/4eab6cmyDA. #UBuffalo #Research #Education https://t.co/6EtqhZ6N8z
6312,Applying to #gradschool is a big decision. Join us on Feb. 25 at 6 p.m. for our Exploring GSE Programs Webinar. #UBGSE's admissions team will show you strategies for researching your next academic move. Register now: https://t.co/EwofDOJnoC. #UBuffalo #Research #Education https://t.co/tOOltQyRqd
6313,"'Let’s discuss reshaping schools into loving communities. Join #UBGSE on March 15 &amp; 16 #BelovedCommunity symposium with  @ShannonRWaite5, @ChrisEmdin, @davidekirkland,  @nrookie, @GCUrbanEd, @CityCollegeNY’s and @UBuffalo’s #CDI @terrinwatson, Register at https://t.co/wUdsrq3xes.'"
6314,"'Join @FordhamGSE Dr. Shannon R. Waite presenting ""Distrupting Dysconciousness: Confronting Anti-Blackness in Education” at #UBGSE\'s Creating the #BelovedCommunity virtual spring symposium, March 16. Register at https://t.co/Ycj4YAwCny.'"
6315,Reducing food inequity — #UBuffalo professor’s research on school #FoodPolitics resonates during COVID-19 pandemic’s food crisis &gt;&gt; https://t.co/6ZP4VyRxwc https://t.co/3lZNaQGbXk'
6316,".@BlackInSciComm founder Raven Baxter (@ravenscimaven) is a PhD candidate in @UBGSE. A thread on Baxter's research, centered around her science education efforts and understanding responses to her work from the public: https://t.co/ANS8oF7XRl"
6317,"'Free, open to the public conversations on creating the Beloved Community. Why wouldn’t you join the amazing @terrinwatson and @UBGSE? @SchoolEquityPro @MilitelloMatt @EProjecti4 @Kwesibaby58 https://t.co/cwxhP5GaKC'"
6318,"#UBGSE professor and #SchoolFoodPolicy analyst Sarah A. Robert joined Seeding Resilience, a new Buffalo food coalition serving people in need. She and @JenniferEGaddis are finishing a book on changing school food systems.  https://t.co/6ZP4VyRxwc  #COVID19 #FoodPolitics #UBuffalo https://t.co/YklAGclyds'"
6319,"@StephSFredrick, associate director at the Alberti Center, was interviewed by @KarysBelger @WGRZ for a story on having difficult conversations with your child about current events @UBGSE #UBuffalo   https://t.co/Rq9O6x4ZX8'"
6320,'@terrinwatson @heymrsbond @UBGSE @UBuffalo @HumanitiesGC Thank you.'
6321,"'@tiffwalters @heymrsbond @UBGSE @UBuffalo @HumanitiesGC The symposium is free and open to the public; however, keynotes will not be recorded.'"
6322,"'@terrinwatson @heymrsbond @UBGSE @UBuffalo @HumanitiesGC Is there a charge for this? Will keynotes be recorded &amp; posted it must watch live? Would love to watch, listen, &amp; learn, but teach during those specific times.'"
6323,"@terrinwatson @UBGSE @UBuffalo @HumanitiesGC Fabulous and really  looking forward. And agreed about  need to transform our schools, as discussed during this just completed four-week class at @middlebury.    https://t.co/c7oRmek4wa'"
6324,What if I told you that justice and love are synonymous?   Join us @UBGSE @UBuffalo @HumanitiesGC   March 15th - 16th   “Creating the Beloved Community”  Register here - https://t.co/v3VBiXQZPX https://t.co/cJjxOZqrHa'
6325,Grab a cup of hot cocoa and join the #UBGSE community for a virtual fireside chat on Feb. 17 at 6 p.m. ET. 🔥 We're talking about what it's like becoming a #teacher at #UBuffalo. Register now: https://t.co/nKq2XvtnHW. #EduTwitter https://t.co/GYJ2qWP3ou
6326,Grab a cup of hot cocoa and join the #UBGSE community for a virtual fireside chat on Feb. 17 at 6 p.m. ET. 🔥 We're talking about what it's like becoming a #teacher at #UBuffalo. Register now: https://t.co/6E18QNSlCM. #EduTwitter https://t.co/6b29QC9Ra7
6327,'Proud to be part of this research study @UBuffalo @UBGSE @tandfonline #education #educationalpolicy #global #displacement Global displacement and local contexts: a case study of U.S. urban educational policy and practice https://t.co/Higst8RCOa'
6328,"#UBuffalo's Office of Inclusive Excellence has events coming up on inclusive pedagogy: https://t.co/gpdEqljf8G  Don't miss this one, on Thursday, Feb. 18, w/ @UBGSE's Dr. Raechele Pope (@RaechelepRLP) &amp; Dr. Amy Reynolds (@AmyReynolds1204): https://t.co/GMvI5tdySZ https://t.co/ljznDWxjXg"
6329,'💙 https://t.co/7CKlpgM210'
6330,“@BeynanR and I were both graduate students and met through Dr. Letitia Thomas (@Dr_t1913) and the @UBSTEM programs. We even got married in Buffalo!” – @ncampos84 #ValentinesDay #UBalumni    @UBGSE @UBCAS https://t.co/g9YEaIXes3'
6331,"'The latest edition of the Alberti Center newsletter (Winter 2021 edition) is now available on our website! Read about our recent projects, new bullying prevention resources, trainings, and upcoming virtual events!! @UBGSE @UBuffalo https://t.co/izGNzVV9Le https://t.co/R4LFo5uo55'"
6332,'My book! @SUNY graduate 4 times over! @FredoniaU @binghamtonu @UBGSE @EPL_UAlbany https://t.co/rrZ5iX0wbU'
6333,Virtual #UBuffalo MusicPlay Classes Start Feb. 20 — Children will experience a rich #musical environment. Caregivers learn how music development can continue at home.  Classes are held on Saturday mornings. See details and enroll: https://t.co/HzgmD1Joql  #UBGSE #Buffalo #WNY https://t.co/J4tdyoBBzo'
6334,Join us for #UBGSE's Admission &amp; Financial Aid webinar on Feb. 16 to learn more about the application process and opportunities for funding. Register now so we can help you submit the best application possible: https://t.co/PJPqCPvnoY #UBuffalo #GradSchool #FinancialAid https://t.co/aYyujqoCb7
6335,Join us for #UBGSE's Admission &amp; Financial Aid webinar on Feb. 16 to learn more about the application process and opportunities for funding. Register now so we can help you submit the best application possible: https://t.co/BYR17Cdh3I #UBuffalo #GradSchool #FinancialAid https://t.co/TgGGlKpkRF
6336,'Evaluating student achievement by test scores alone is outdated says #UBGSE Professor Jaekyung Lee. He has a better way: Factor in emotional and physical health. Consider Lee’s new national report card and its potential impact: https://t.co/6ZP4VyRxwc #UBuffalo #StandardizedTests https://t.co/Bb7AAnxjSs'
6337,Weekend accomplishments: ✅ #MTGKHM games with Tien ✅ @GUSchoolofEd course redesign work  ✅ @PCTELANews #PCTELA21 hybrid state conference planning @JENTONEY ✅ Read for @UBGSE PhD class on research in reading/literacy ✅ #HusbandBookclub reading &amp; discussion @Phamtatorship'
6338,'MusicPlay at UB!!! Sign up now and share with others. https://t.co/fhogi4q2Cd https://t.co/ZThnfNvvty @UBGSE @UBuffalo @TheGIML @UBCommunity'
6339,'@UBuffalo @UBGSE @BuffaloArchPlan @ubsphhp https://t.co/fZ5hh11DpX'
6340,D&amp;G came up in our readings for last night's @UBGSE class w/ @jzstrong and I couldn't help but chime in. I started looking at D&amp;G while taking courses @EastCarolina then used them to explore Le Guin's becoming-dragons while earning my MA in English @GannonU. Excited to revisit!
6341,"'Celebrate #NSCW21. Thank/tag a #SchoolCounselor! They have stepped up during the pandemic by helping with food, laptops, supplies and advice. “This current situation has really emphasized how much they do,” said Janice DeLucia, #UBGSE director of school counseling at #UBuffalo. https://t.co/l27N3D70Ic'"
6342,'@DrStephenSR @UBGSE Thank you!'
6343,'@BrianLe22 We are also not requiring the GRE @UBGSE :). Best of luck! Let me know if any questions I can help answer.'
6344,'Settling in to review readings &amp; my initial notes (and gather some thoughts together) before my first PhD seminar of the semester tomorrow night via Zoom @UBGSE with @jzstrong on Research in Reading &amp; Literacy.'
